date,foreign_exchange_sdr,imf_reserve_position_sdr,sdr_sdr,gold_usd,gold_oz,other_reserves_sdr
2018.01,21696.57,53.42,77.21,796.75,5924,3.51
2018.02,21678.61,53.27,77.05,780.64,5924,3.69
2018.03,21617.01,53.27,77.17,784.19,5924,0.96
2018.04,21729.59,53.12,77.12,777.88,5924,1.42
2018.05,21957.58,52.8,76.8,773.23,5924,3.59
2018.06,22125.62,60.62,77.21,740.71,5924,3.8
2018.07,22193.89,60.29,77.32,723.24,5924,3.14
2018.08,22190.25,61.0,77.49,712.28,5924,1.94
2018.09,22125.23,61.0,77.5,703.27,5924,2.94
2018.10,22089.86,63.86,76.44,719.68,5924,3.56
2018.11,22134.48,63.18,76.69,721.22,5924,-0.8
2018.12,22093.26,60.97,76.86,763.31,5956,-1.58
2019.01,22045.61,60.58,77.01,793.19,5994,-1.16
2019.02,22104.67,60.58,77.21,794.98,6026,-1.1
2019.03,22321.33,60.58,77.23,785.25,6062,-2.16
2019.04,22333.98,60.23,77.27,783.49,6110,0.76
2019.05,22509.88,60.12,77.54,798.25,6161,0.11
2019.06,22437.12,59.22,77.77,872.68,6194,-2.24
2019.07,22565.49,62.08,78.88,888.76,6226,-3.38
2019.08,22707.64,61.73,79.09,954.5,6245,-2.89
2019.09,22683.32,61.73,79.11,930.45,6264,-1.65
2019.10,22511.11,61.66,79.14,946.51,6264,-0.79
2019.11,22547.82,61.66,79.38,914.69,6264,-1.17
2019.12,22475.17,61.06,80.46,954.06,6264,0.24
2020.01,22626.05,60.82,80.58,992.4,6264,0.08
2020.02,22622.59,59.13,80.73,1008.47,6264,-0.73
2020.03,22425.53,59.13,80.74,1007.9,6264,-1.74
2020.04,22624.81,66.13,79.13,1066.66,6264,-0.25
2020.05,22606.78,66.13,79.26,1082.92,6264,-0.37
2020.06,22623.67,69.86,79.63,1107.6,6264,-2.37
2020.07,22322.99,69.86,79.74,1230.88,6264,-2.8
2020.08,22303.06,69.17,79.77,1226.15,6264,-2.91
2020.09,22326.08,68.75,79.34,1182.02,6264,-2.83
2020.10,22158.5,68.74,79.38,1178.86,6264,-3.48
2020.11,22225.75,68.74,79.47,1104.12,6264,-3.3
2020.12,22332.79,74.74,79.81,1182.46,6264,-3.46
2021.01,22283.92,74.74,79.88,1167.55,6264,-2.77
2021.02,22268.17,74.7,79.9,1091.78,6264,-2.83
2021.03,22368.14,72.49,79.97,1059.33,6264,-3.34
2021.04,22271.65,72.49,79.55,1107.32,6264,-2.36
2021.05,22301.35,72.49,79.63,1190.2,6264,-2.26
2021.06,22531.95,72.24,79.99,1104.5,6264,-1.94
2021.07,22648.06,72.24,80.11,1143.72,6264,-2.95
2021.08,22693.36,72.19,371.52,1136.89,6264,-1.86
2021.09,22717.66,71.69,378.59,1091.75,6264,-1.58
2021.10,22733.22,74.37,378.67,1108.26,6264,-2.35
2021.11,23003.97,76.37,378.76,1130.34,6264,-1.76
2021.12,23222.21,76.37,379.15,1131.25,6264,-0.98
2022.01,23147.52,76.37,384.46,1124.61,6264,0.07
2022.02,23040.44,76.33,384.49,1196.4,6264,-2.52
2022.03,23061.31,75.75,384.55,1216.63,6264,-0.94
2022.04,23206.97,74.75,388.83,1197.31,6264,-4.27
2022.05,23173.88,75.02,388.96,1151.83,6264,-1.25
2022.06,23130.86,75.03,391.28,1138.23,6264,-3.14
2022.07,23451.75,76.4,391.44,1098.39,6264,-2.59
2022.08,23474.81,78.14,394.15,1074.9,6264,-0.55
2022.09,23665.93,77.79,394.21,1047.24,6264,-4.0
2022.10,23785.88,81.44,392.27,1026.73,6264,-3.71
2022.11,23709.99,81.44,384.17,1116.5,6367,-3.24
2022.12,23501.56,81.44,384.41,1172.35,6464,-2.97
2023.01,23615.4,81.44,385.41,1252.83,6512,-1.51
2023.02,23579.08,81.44,388.49,1202.83,6592,0.24
2023.03,23667.85,81.14,390.04,1316.53,6650,0.68
2023.04,23791.73,81.16,390.06,1323.53,6676,1.4
2023.05,23929.14,81.15,391.51,1321.52,6727,3.15
2023.06,24006.17,72.94,391.81,1299.34,6795,0.79
2023.07,23860.18,60.47,393.71,1353.6,6869,0.75
2023.08,23761.19,72.91,397.97,1352.24,6962,-0.5
2023.09,23689.17,72.91,398.03,1317.88,7046,-2.45
2023.10,23598.95,72.91,398.09,1421.71,7120,-1.68
2023.11,23789.41,72.65,399.28,1457.01,7158,-0.14
2023.12,24133.94,72.65,399.47,1482.26,7187,1.08
2024.01,24207.52,74.36,400.76,1482.29,7219,2.53
2024.02,24298.76,74.36,402.01,1486.44,7258,-1.46
2024.03,24513.12,74.36,401.82,1610.69,7274,-2.55
2024.04,24286.82,74.12,402.68,1679.57,7280,-5.57
2024.05,24419.67,74.13,404.02,1709.6,7280,-6.76
2024.06,24498.2,74.13,404.18,1696.97,7280,-8.48
2024.07,24513.09,74.13,403.86,1766.42,7280,-8.84
2024.08,24418.55,74.13,406.37,1829.8,7280,-6.7
2024.09,24450.28,74.82,404.49,1914.69,7280,-7.71
2024.10,24489.08,74.83,404.47,1990.55,7280,-10.5
2024.11,24856.07,74.83,405.68,1934.31,7296,-5.97
2024.12,24555.42,74.82,404.01,1913.37,7329,-4.46
2025.01,24612.47,77.07,404.29,2065.34,7345,-2.48
2025.02,24654.06,77.06,405.48,2086.43,7361,-3.61
2025.03,24389.83,76.1,405.53,2295.94,7370,-2.71
2025.04,24199.01,82.48,405.95,2435.85,7377,-1.16
2025.05,24214.89,83.31,407.0,2419.88,7383,-2.21
2025.06,24144.2,82.14,407.06,2429.31,7390,-3.55
2025.07,24298.54,80.65,407.92,2439.85,7396,-2.56
2025.08,24273.35,82.86,409.26,2538.43,7402,-1.47
2025.09,24352.47,81.91,409.3,2832.91,7406,-2.57
2025.10,24612.45,81.4,409.03,2972.09,7409,-2.41
2025.11,24631.64,81.4,410.11,3106.47,7412,-1.05
2025.12,24518.89,81.63,407.62,3194.5,7415,-0.11
2026.01,24597.67,81.04,406.94,3695.82,7419,1.37
2026.02,24933.77,81.03,408.02,3875.88,7422,0.47
2026.03,24639.84,80.38,408.02,3427.63,7438,-0.07
2026.04,24857.91,79.72,408.4,3441.72,7464,0.2
2026.05,25148.72,81.72,409.38,3407.52,7496,2.75
